workload,btb_entries,btb_hit_rate
bubble_sort,1,0.00%
recursive_fibonacci,1,36.67%
matrix_multiplication,1,82.95%
bubble_sort,2,0.00%
recursive_fibonacci,2,40.00%
matrix_multiplication,2,6.45%
bubble_sort,4,0.00%
recursive_fibonacci,4,40.00%
matrix_multiplication,4,41.67%
bubble_sort,8,56.25%
recursive_fibonacci,8,40.00%
matrix_multiplication,8,41.67%
bubble_sort,16,56.25%
recursive_fibonacci,16,40.00%
matrix_multiplication,16,41.67%
bubble_sort,32,56.25%
recursive_fibonacci,32,40.00%
matrix_multiplication,32,41.67%
bubble_sort,64,56.25%
recursive_fibonacci,64,40.00%
matrix_multiplication,64,41.67%
bubble_sort,128,56.25%
recursive_fibonacci,128,40.00%
matrix_multiplication,128,41.67%
bubble_sort,256,56.25%
recursive_fibonacci,256,40.00%
matrix_multiplication,256,41.67%
