workload,history_bits,accuracy
bubble_sort,1,50.00%
recursive_fibonacci,1,84.62%
matrix_multiplication,1,47.06%
bubble_sort,2,10.00%
recursive_fibonacci,2,84.62%
matrix_multiplication,2,29.41%
bubble_sort,4,76.19%
recursive_fibonacci,4,84.62%
matrix_multiplication,4,23.53%
bubble_sort,6,77.27%
recursive_fibonacci,6,84.62%
matrix_multiplication,6,41.18%
bubble_sort,8,72.73%
recursive_fibonacci,8,84.62%
matrix_multiplication,8,41.18%
bubble_sort,10,68.18%
recursive_fibonacci,10,84.62%
matrix_multiplication,10,41.18%
bubble_sort,12,63.64%
recursive_fibonacci,12,84.62%
matrix_multiplication,12,41.18%
bubble_sort,14,59.09%
recursive_fibonacci,14,84.62%
matrix_multiplication,14,41.18%
bubble_sort,16,54.55%
recursive_fibonacci,16,84.62%
matrix_multiplication,16,41.18%
